ID,Decreased_Death,Enjoyment,Flow,Increased_Distance,NetScore,game_experience,game_skill,mario_experience,sl,RATIO,DET,DIV,Lmax,Lmean,LmeanwithoutMain,ENTR,TREND,LAM,Vmax,Vmean,REC
23,-4,2,4.428571428571429,-5,-1e3,3,2,0,0.01405845357,111.90118013334124,0.6590206136890935,0.03571428571428571,28,2.911404347630753,2.8420363524337646,1.2678753181539282,-1.3880781980896377e-6,0.5990870644706238,29,3.7602607942369946,0.005889308878635647
24,-1,5,5.666666666666667,0,0,0.1,2,0.1,1.794649313,8550.538572610652,0.8940376650777526,0.3333333333333333,3,63.209944751381215,2.1,0.35751748458197385,-3.83150406070993e-9,0.0585293428147222,4,2.2975460122699385,1.0455922249641227e-4
25,3,5,5,39,31420,2,2,0,18.55982752,10167.210399713926,0.9564135564135564,0.5,2,1238.5555555555557,2,0.34883209584303193,-1.0354533382445186e-9,0.002574002574002574,2,2,9.406843360303303e-5
26,-2,4,2.7222222222222223,-5,-1400,0,3,0,0.2420358843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,4,5.055555555555555,5,0,1,4,1,0.09420821114,155.1820340786172,0.6398340046082668,0.045454545454545456,22,2.9362758388571537,2.8342931937172775,1.2603318347898922,-8.155235331418837e-7,0.6032367879036054,23,3.7793306785112573,0.004123119073720343
28,-5,3,4.714285714285714,0,1e3,0,2,0,0.5207574654,437.0044320995155,0.41395878002888026,0.14285714285714285,7,2.9524374258785344,2.2670411985018726,0.6526756309855792,-1.9843328959403538e-7,0.19108213363672166,8,2.4967409948542025,9.472644889208189e-4
29,4,3,3.888888888888889,18,10190,9,2,0,0.1516812865,49.20211442167178,0.5873257280612713,0.02564102564102564,39,2.738288372032342,2.702605382979556,1.1501255635962766,-3.104629986999826e-6,0.47905029007721167,40,3.496953850710598,0.011937001792804562
30,1,1,3.7777777777777777,5,-800,0,1,0,0.0882994186,92.80346023803628,0.5249191202973397,0.05263157894736842,19,2.652315610184113,2.571175767943254,1.0278179740776445,-1.1486698808460556e-6,0.4795024493744865,15,3.322433544655767,0.0056562451330041804
31,-2,4,4.828571428571428,-2,1e3,7,3,0,NA,192.55242096494408,0.6860810402248071,0.03571428571428571,28,3.102485294896932,2.9865400512961826,1.370454224440398,-9.259781718514375e-7,0.670643132861626,26,4.116289775015824,0.0035630870637025874
32,-2,4,3.888888888888889,3,7e3,0,2,0,0.02485380117,408.29306030826774,0.45994039077160837,0.125,8,2.821243172482282,2.325568797399783,0.7391840002619523,-2.5095844988544367e-7,0.22429260036059903,6,2.5616069927718943,0.0011264957342756354
